firstName,lastName,mobileNumber,email,role,password,confirm_password,termsAgreed,isOnBoardingCompleted
siva,a,8000000000,kane4@mailinator.com,2,123123,123123,1,1
siva,b,8000000001,kane5@mailinator.com,2,123123,123123,1,1
siva,a,8000000002,kane6@mailinator.com,2,123123,123123,1,1
siva,b,8000000003,kane7@mailinator.com,2,123123,123123,1,1
siva,a,8000000004,kane1002@mailinator.com,2,123123,123123,1,1
siva,b,8000000005,kane8@mailinator.com,2,123123,123123,1,1
siva,a,8000000006,kane9@mailinator.com,2,123123,123123,1,1
siva,b,8000000007,kane10@mailinator.com,2,123123,123123,1,1
siva,a,8000000008,kane11@mailinator.com,2,123123,123123,1,1
siva,b,8000000009,kane12@mailinator.com,2,123123,123123,1,1
siva,a,8000000010,kane13@mailinator.com,2,123123,123123,1,1
siva,b,8000000011,kane14@mailinator.com,2,123123,123123,1,1
siva,a,8000000012,kane15@mailinator.com,2,123123,123123,1,1
siva,b,8000000013,kane16@mailinator.com,2,123123,123123,1,1
siva,a,8000000014,kane17@mailinator.com,2,123123,123123,1,1
siva,b,8000000015,kane18@mailinator.com,2,123123,123123,1,1
siva,a,8000000016,kane19@mailinator.com,2,123123,123123,1,1
siva,b,8000000017,kane20@mailinator.com,2,123123,123123,1,1
siva,a,8000000018,kane21@mailinator.com,2,123123,123123,1,1
siva,b,8000000019,kane22@mailinator.com,2,123123,123123,1,1
siva,a,8000000020,kane23@mailinator.com,2,123123,123123,1,1
siva,b,8000000021,kane24@mailinator.com,2,123123,123123,1,1
siva,a,8000000022,kane25@mailinator.com,2,123123,123123,1,1
siva,b,8000000023,kane26@mailinator.com,2,123123,123123,1,1
siva,a,8000000024,kane27@mailinator.com,2,123123,123123,1,1
siva,b,8000000025,kane28@mailinator.com,2,123123,123123,1,1
siva,a,8000000026,kane29@mailinator.com,2,123123,123123,1,1
siva,b,8000000027,kane30@mailinator.com,2,123123,123123,1,1
siva,a,8000000028,kane31@mailinator.com,2,123123,123123,1,1
siva,b,8000000029,kane32@mailinator.com,2,123123,123123,1,1
siva,a,8000000030,kane33@mailinator.com,2,123123,123123,1,1
siva,b,8000000031,kane34@mailinator.com,2,123123,123123,1,1
siva,a,8000000032,kane35@mailinator.com,2,123123,123123,1,1
siva,b,8000000033,kane36@mailinator.com,2,123123,123123,1,1
siva,a,8000000034,kane37@mailinator.com,2,123123,123123,1,1
siva,b,8000000035,kane38@mailinator.com,2,123123,123123,1,1
siva,a,8000000036,kane39@mailinator.com,2,123123,123123,1,1
siva,b,8000000037,kane40@mailinator.com,2,123123,123123,1,1
siva,a,8000000038,kane41@mailinator.com,2,123123,123123,1,1
siva,b,8000000039,kane42@mailinator.com,2,123123,123123,1,1
siva,a,8000000040,kane43@mailinator.com,2,123123,123123,1,1
siva,b,8000000041,kane44@mailinator.com,2,123123,123123,1,1
siva,a,8000000042,kane45@mailinator.com,2,123123,123123,1,1
siva,b,8000000043,kane46@mailinator.com,2,123123,123123,1,1
siva,a,8000000044,kane47@mailinator.com,2,123123,123123,1,1
siva,b,8000000045,kane48@mailinator.com,2,123123,123123,1,1
siva,a,8000000046,kane49@mailinator.com,2,123123,123123,1,1
siva,b,8000000047,kane50@mailinator.com,2,123123,123123,1,1
siva,a,8000000048,kane51@mailinator.com,2,123123,123123,1,1
siva,b,8000000049,kane52@mailinator.com,2,123123,123123,1,1
siva,a,8000000050,kane53@mailinator.com,2,123123,123123,1,1
siva,b,8000000051,kane54@mailinator.com,2,123123,123123,1,1
siva,a,8000000052,kane55@mailinator.com,2,123123,123123,1,1
siva,b,8000000053,kane56@mailinator.com,2,123123,123123,1,1
siva,a,8000000054,kane57@mailinator.com,2,123123,123123,1,1
siva,b,8000000055,kane58@mailinator.com,2,123123,123123,1,1
siva,a,8000000056,kane59@mailinator.com,2,123123,123123,1,1
siva,b,8000000057,kane60@mailinator.com,2,123123,123123,1,1
siva,a,8000000058,kane61@mailinator.com,2,123123,123123,1,1
siva,b,8000000059,kane62@mailinator.com,2,123123,123123,1,1
siva,a,8000000060,kane63@mailinator.com,2,123123,123123,1,1
